unique_id,filename,source,corpus,date,word_count,path
BBG_0050,BBG_0050-2025-02-14.txt,BBG,MEDIA,2025-02-14,565,/Users/pranav/Documents/culture-as-data-final-project/Extracts/BBG/BBG_0050-2025-02-14.txt
BBG_0067,BBG_0067-2025-11-13.txt,BBG,MEDIA,2025-11-13,3059,/Users/pranav/Documents/culture-as-data-final-project/Extracts/BBG/BBG_0067-2025-11-13.txt
BBG_0082,BBG_0082-2023-01-13.txt,BBG,MEDIA,2023-01-13,345,/Users/pranav/Documents/culture-as-data-final-project/Extracts/BBG/BBG_0082-2023-01-13.txt
BBG_0025,BBG_0025-2025-11-20.txt,BBG,MEDIA,2025-11-20,502,/Users/pranav/Documents/culture-as-data-final-project/Extracts/BBG/BBG_0025-2025-11-20.txt
BBG_0002,BBG_0002-2024-12-19.txt,BBG,MEDIA,2024-12-19,326,/Users/pranav/Documents/culture-as-data-final-project/Extracts/BBG/BBG_0002-2024-12-19.txt
BBG_0011,BBG_0011-2023-03-13.txt,BBG,MEDIA,2023-03-13,467,/Users/pranav/Documents/culture-as-data-final-project/Extracts/BBG/BBG_0011-2023-03-13.txt
BBG_0041,BBG_0041-2023-06-13.txt,BBG,MEDIA,2023-06-13,206,/Users/pranav/Documents/culture-as-data-final-project/Extracts/BBG/BBG_0041-2023-06-13.txt
BBG_0012,BBG_0012-2024-04-08.txt,BBG,MEDIA,2024-04-08,353,/Users/pranav/Documents/culture-as-data-final-project/Extracts/BBG/BBG_0012-2024-04-08.txt
BBG_0073,BBG_0073-2022-07-13.txt,BBG,MEDIA,2022-07-13,797,/Users/pranav/Documents/culture-as-data-final-project/Extracts/BBG/BBG_0073-2022-07-13.txt
BBG_0035,BBG_0035-2023-10-12.txt,BBG,MEDIA,2023-10-12,523,/Users/pranav/Documents/culture-as-data-final-project/Extracts/BBG/BBG_0035-2023-10-12.txt
BBG_0064,BBG_0064-2025-12-18.txt,BBG,MEDIA,2025-12-18,849,/Users/pranav/Documents/culture-as-data-final-project/Extracts/BBG/BBG_0064-2025-12-18.txt
BBG_0054,BBG_0054-2025-11-25.txt,BBG,MEDIA,2025-11-25,488,/Users/pranav/Documents/culture-as-data-final-project/Extracts/BBG/BBG_0054-2025-11-25.txt
BBG_0074,BBG_0074-2025-03-11.txt,BBG,MEDIA,2025-03-11,720,/Users/pranav/Documents/culture-as-data-final-project/Extracts/BBG/BBG_0074-2025-03-11.txt
BBG_0005,BBG_0005-2022-07-13.txt,BBG,MEDIA,2022-07-13,761,/Users/pranav/Documents/culture-as-data-final-project/Extracts/BBG/BBG_0005-2022-07-13.txt
BBG_0045,BBG_0045-2022-06-12.txt,BBG,MEDIA,2022-06-12,462,/Users/pranav/Documents/culture-as-data-final-project/Extracts/BBG/BBG_0045-2022-06-12.txt
BBG_0024,BBG_0024-2023-04-11.txt,BBG,MEDIA,2023-04-11,444,/Users/pranav/Documents/culture-as-data-final-project/Extracts/BBG/BBG_0024-2023-04-11.txt
BBG_0069,BBG_0069-2023-06-30.txt,BBG,MEDIA,2023-06-30,802,/Users/pranav/Documents/culture-as-data-final-project/Extracts/BBG/BBG_0069-2023-06-30.txt
BBG_0004,BBG_0004-2024-05-14.txt,BBG,MEDIA,2024-05-14,410,/Users/pranav/Documents/culture-as-data-final-project/Extracts/BBG/BBG_0004-2024-05-14.txt
