month_year,FED,MEDIA
2021-01,12321.0,0.0
2021-02,20926.0,0.0
2021-03,26195.0,0.0
2021-04,4440.0,0.0
2021-05,25238.0,0.0
2021-06,13361.0,7844.0
2021-07,3183.0,13995.0
2021-08,13094.0,6826.0
2021-09,9861.0,16000.0
2021-10,29499.0,11729.0
2021-11,23187.0,20713.0
2021-12,11759.0,11944.0
2022-01,0.0,6940.0
2022-02,9207.0,8444.0
2022-03,7647.0,8475.0
2022-04,3828.0,21116.0
2022-05,10555.0,12324.0
2022-06,7012.0,16647.0
2022-07,7714.0,20286.0
2022-08,10112.0,13539.0
2022-09,19265.0,14583.0
2022-10,19765.0,19937.0
2022-11,15178.0,18761.0
2022-12,5496.0,24788.0
2023-01,13453.0,14611.0
2023-02,24543.0,17198.0
2023-03,22672.0,22782.0
2023-04,16508.0,7598.0
2023-05,26558.0,15307.0
2023-06,10195.0,17563.0
2023-07,10485.0,9638.0
2023-08,5420.0,15217.0
2023-09,10062.0,17354.0
2023-10,43735.0,1335.0
2023-11,40859.0,1096.0
2023-12,7566.0,0.0
2024-01,0.0,7297.0
2024-02,0.0,14835.0
2024-03,0.0,15561.0
2024-04,0.0,18220.0
2024-05,0.0,16313.0
2024-06,0.0,9466.0
2024-07,0.0,7142.0
2024-08,0.0,18495.0
2024-09,0.0,15342.0
2024-10,0.0,5421.0
2024-11,0.0,13306.0
2024-12,0.0,5668.0
2025-01,0.0,3473.0
2025-02,0.0,6459.0
2025-03,0.0,10315.0
2025-04,0.0,5957.0
2025-05,0.0,4433.0
2025-06,0.0,10623.0
2025-07,0.0,1663.0
2025-08,0.0,15564.0
2025-09,0.0,14585.0
2025-10,0.0,786.0
2025-11,0.0,16371.0
2025-12,0.0,8430.0
