quarter,top_words
2021Q2,"fed, cent, inflation, said, year, bank, economy, pandemic, central, rate, policy, market, rates, financial, federal, ft, powell, reserve, jun, prices"
2021Q3,"inflation, cent, year, fed, said, economy, market, rates, prices, central, bank, financial, ft, markets, policy, price, pandemic, economic, higher, powell"
2021Q4,"inflation, cent, rates, year, fed, prices, said, market, central, policy, supply, ft, bank, price, 2021, rate, financial, markets, growth, economy"
2022Q1,"inflation, cent, fed, year, rate, said, prices, economy, policy, rates, market, point, price, financial, growth, 2022, bank, markets, month, higher"
2022Q2,"cent, inflation, said, year, fed, central, bank, rate, rates, markets, market, ukraine, prices, new, policy, russia, apr, economy, price, federal"
2022Q3,"inflation, cent, rates, year, fed, central, said, rate, markets, policy, economy, bank, price, prices, financial, ft, uk, growth, dollar, market"
2022Q4,"inflation, cent, rate, fed, year, rates, said, market, central, policy, bank, markets, economy, price, prices, 2022, financial, global, ft, federal"
2023Q1,"inflation, cent, fed, rate, year, said, bank, rates, central, market, markets, data, financial, 2023, economy, federal, policy, prices, ft, price"
2023Q2,"inflation, cent, fed, rate, year, said, bank, rates, financial, economy, markets, federal, market, central, policy, ft, reserve, 2023, price, month"
2023Q3,"inflation, cent, year, fed, rates, rate, said, market, economy, ft, policy, think, markets, bank, central, prices, financial, ethan, federal, data"
2023Q4,"inflation, data, said, bloomberg, year, fed, rate, stocks, federal, prices, market, markets, news, rates, european, policy, reserve, bank, 2023, report"
2024Q1,"inflation, cent, fed, year, rates, rate, said, central, economy, cuts, bank, 2024, data, market, growth, markets, price, federal, policy, prices"
2024Q2,"inflation, cent, fed, rates, year, rate, said, economy, data, 2024, market, markets, central, cut, ft, price, federal, cuts, new, financial"
2024Q3,"fed, inflation, rate, rates, cent, cut, central, market, said, economy, year, powell, policy, bank, data, point, federal, 2024, ft, week"
2024Q4,"inflation, cent, rate, fed, said, trump, rates, year, cut, market, bank, economy, central, policy, federal, powell, data, point, tariffs, higher"
2025Q1,"cent, inflation, fed, tariffs, trump, said, year, rates, economy, 2025, growth, rate, policy, powell, markets, federal, cuts, president, bank, january"
2025Q2,"fed, trump, tariffs, inflation, said, cent, central, powell, bank, rates, year, 2025, federal, rate, market, dollar, ft, economy, reserve, president"
2025Q3,"inflation, fed, rate, tariffs, cent, market, trump, data, central, year, said, economy, rates, ft, bank, policy, federal, tariff, financial, president"
2025Q4,"fed, inflation, year, rate, data, said, rates, bank, central, october, economy, bloomberg, market, price, trump, federal, markets, tariffs, month, cut"
